Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),pg/µL,Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Copies/uL linked molecules,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-
C02,SMN2 Control 4 copies,,,,1,1743.68078613281,,OK,,DQ,PosCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,34873.6171875,,,1775.20153808594,1712.98266601563,18701,14453,4248,9.74368167116553,3.99877977371216,,,4.10675228599059,3.89080716563348,2,,,,,,,2,1.99938986290602,,,2.05337614299529,1.94540358281674,66.6598859865743,,,67.2599776104065,66.059794362742,9934.60330714347,2224.45667868864,8183.21552693513,,,,,1759.6572265625,1727.91845703125,,,4.05386182337854,3.94369762824553,,,2.02693091168927,1.97184881412276,,,66.9660221504117,66.3537498227368,No,7583,6870,2207,2041
C02,SMN2 Control 4 copies,,,,2,872.1064453125,,OK,,DQ,PosCtrl,Reference,ddPCR Supermix for Probes (No dUTP),HEX,17442.12890625,,,889.914489746094,854.56396484375,18701,9790,8911,9.74368167116553,,,,,,,,,,,,,,,,,,,,,,,,6014.10835270166,1340.46919139014,3787.1259150541,,,,,881.158508300781,863.12353515625,,,,,,,,,,,,,No,7583,6870,2207,2041
D01,SMN2 Control 2 copies,,,,1,921.415954589844,,OK,,DQ,PosCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,18428.318359375,,,939.72998046875,903.382751464844,19136,10392,8744,10.3091927750197,2.01614093780518,,,2.07244122762448,1.95984084580981,2,,,,,,,2,1.00807051835857,,,1.03622061381224,0.979920422904907,50.2009520652983,,,50.8990589993165,49.5028451312801,9027.77107178862,2194.83518783695,5905.53072013345,,,,,930.724243164063,912.180847167969,,,2.04486392995156,1.98741814348274,,,1.02243196497578,0.993709071741371,,,50.5571080677709,49.8447960628256,No,5649,4743,4688,4056
D01,SMN2 Control 2 copies,,,,2,914.039184570313,,OK,,DQ,PosCtrl,Reference,ddPCR Supermix for Probes (No dUTP),HEX,18280.783203125,,,932.24658203125,896.109252929688,19136,10337,8799,10.3091927750197,,,,,,,,,,,,,,,,,,,,,,,,6016.62396623439,1310.71902338534,3852.78316397013,,,,,923.29345703125,904.857116699219,,,,,,,,,,,,,No,5649,4743,4688,4056
D02,SMN2 Control 4 copies,,,,1,1838.2236328125,,OK,,DQ,PosCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,36764.47265625,,,1871.2431640625,1806.10571289063,18911,14947,3964,15.1200544449847,3.98517322540283,,,4.0911586912104,3.87918763397623,2,,,,,,,2,1.99258658129666,,,2.0455793456052,1.93959381698812,66.5840912924661,,,67.175820663092,65.9923619218402,9982.98503439366,2237.58752222764,8359.44552097681,,,,,1854.95458984375,1821.72741699219,,,4.03924114614515,3.93110517904149,,,2.01962057307257,1.96555258952074,,,66.8859590502213,66.282223534711,No,8147,6800,2131,1833
D02,SMN2 Control 4 copies,,,,2,922.531372070313,,OK,,DQ,PosCtrl,Reference,ddPCR Supermix for Probes (No dUTP),HEX,18450.626953125,,,940.971008300781,904.376281738281,18911,10278,8633,15.1200544449847,,,,,,,,,,,,,,,,,,,,,,,,6033.51976204104,1352.07973613582,3896.41057989098,,,,,931.903259277344,913.233581542969,,,,,,,,,,,,,No,8147,6800,2131,1833
E01,SMN2 Control 3 copies,,,,1,1396.54370117188,,OK,,DQ,PosCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,27930.875,,,1421.50061035156,1372.10522460938,19858,13799,6059,0,2.97691297531128,,,3.0547630340747,2.89906268939303,2,,,,,,,2,1.48845643086693,,,1.52738151703735,1.44953134469652,59.8144461122183,,,60.4430390538046,59.1858531706321,8661.95237288623,2228.55244883241,6699.01702492359,,,,,1409.21069335938,1384.01171875,,,3.0166291916637,2.93719653180403,,,1.50831459583185,1.46859826590202,,,60.1351313966427,59.493760827794,No,7555,6244,3358,2701
E01,SMN2 Control 3 copies,,,,2,938.249633789063,,OK,,DQ,PosCtrl,Reference,ddPCR Supermix for Probes (No dUTP),HEX,18764.9921875,,,956.463806152344,920.313232421875,19858,10913,8945,0,,,,,,,,,,,,,,,,,,,,,,,,5953.61507459746,1308.79293687116,3861.36338651398,,,,,947.507385253906,929.064208984375,,,,,,,,,,,,,No,7555,6244,3358,2701
E02,NTC,,,,1,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,NTC,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,,,,,19862,0,19862,0,,,,,,,,,,,,,,,,,,,,,,,,,2183.22414071768,2183.22414071768,,,,,,,,,,,,,,,,,,,No,0,0,0,19862
E02,NTC,,,,2,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,NTC,Reference,ddPCR Supermix for Probes (No dUTP),HEX,,,,,,19862,0,19862,0,,,,,,,,,,,,,,,,,,,,,,,,,1298.0050888607,1298.0050888607,,,,,,,,,,,,,,,,,,,No,0,0,0,19862
F01,SMN2 Control 3 copies,,,,1,1416.49694824219,,OK,,DQ,PosCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,28329.939453125,,,1441.56982421875,1391.947265625,20161,14113,6048,0,2.98323535919189,,,3.06045270364869,2.90601812617378,2,,,,,,,2,1.49161770745562,,,1.53022635182435,1.45300906308689,59.8654321243697,,,60.4873338123237,59.2435304364156,8628.16870184654,2231.75026961231,6709.33835225313,,,,,1429.22241210938,1403.90759277344,,,3.02262867714923,2.94384215267324,,,1.51131433857462,1.47192107633662,,,60.1827022160861,59.5481620326532,No,7816,6297,3351,2697
F01,SMN2 Control 3 copies,,,,2,949.638061523438,,OK,,DQ,PosCtrl,Reference,ddPCR Supermix for Probes (No dUTP),HEX,18992.76171875,,,967.874206542969,931.68017578125,20161,11167,8994,0,,,,,,,,,,,,,,,,,,,,,,,,5952.18545922749,1314.38636130684,3883.22235785859,,,,,958.906860351563,940.441650390625,,,,,,,,,,,,,No,7816,6297,3351,2697
F02,NTC,,,,1,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,NTC,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,,,,,20140,0,20140,0,,,,,,,,,,,,,,,,,,,,,,,,,2224.20085780154,2224.20085780154,,,,,,,,,,,,,,,,,,,No,0,0,0,20140
F02,NTC,,,,2,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,NTC,Reference,ddPCR Supermix for Probes (No dUTP),HEX,,,,,,20140,0,20140,0,,,,,,,,,,,,,,,,,,,,,,,,,1322.4266824065,1322.4266824065,,,,,,,,,,,,,,,,,,,No,0,0,0,20140
G01,SMN2 Control 3 copies,,,,1,1415.47985839844,,OK,,DQ,PosCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,28309.59765625,,,1440.11340332031,1391.35144042969,20853,14592,6261,26.2044625785922,2.98756980895996,,,3.0636331211048,2.91150668599905,2,,,,,,,2,1.49378495177596,,,1.5318165605524,1.45575334299953,59.9003114006344,,,60.5118539748174,59.2887688264514,8663.65747169026,2240.08145263945,6735.01365759746,,,,,1427.98352050781,1403.10754394531,,,3.02637463119227,2.94876517591158,,,1.51318731559613,1.47438258795579,,,60.2122985055074,59.5883242957614,No,8134,6458,3400,2861
G01,SMN2 Control 3 copies,,,,2,947.579406738281,,OK,,DQ,PosCtrl,Reference,ddPCR Supermix for Probes (No dUTP),HEX,18951.587890625,,,965.479614257813,929.947448730469,20853,11534,9319,26.2044625785922,,,,,,,,,,,,,,,,,,,,,,,,5944.56826539335,1315.45492215427,3875.86317520753,,,,,956.678100585938,938.550476074219,,,,,,,,,,,,,No,8134,6458,3400,2861
G02,NTC,,,,1,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,NTC,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,,,,,21034,0,21034,0,,,,,,,,,,,,,,,,,,,,,,,,,2220.22812621757,2220.22812621757,,,,,,,,,,,,,,,,,,,No,0,0,0,21034
G02,NTC,,,,2,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,NTC,Reference,ddPCR Supermix for Probes (No dUTP),HEX,,,,,,21034,0,21034,0,,,,,,,,,,,,,,,,,,,,,,,,,1316.87607385197,1316.87607385197,,,,,,,,,,,,,,,,,,,No,0,0,0,21034
H01,SMN2 Control 3 copies,,,,1,1462.48205566406,,OK,,DQ,PosCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,29249.640625,,,1488.96447753906,1436.58288574219,19124,13607,5517,19.8159821470771,3.00498127937317,,,3.08440246992516,2.9255600802168,2,,,,,,,2,1.50249063753549,,,1.54220123496258,1.4627800401084,60.0398105391186,,,60.6739160070831,59.4057050711541,8625.99205452975,2233.55277437919,6781.8649101776,,,,,1475.91906738281,1449.19702148438,,,3.04549855282375,2.9644639973182,,,1.52274927641188,1.4822319986591,,,60.3633038763473,59.7163172018898,No,7699,5908,3064,2453
H01,SMN2 Control 3 copies,,,,2,973.371826171875,,OK,,DQ,PosCtrl,Reference,ddPCR Supermix for Probes (No dUTP),HEX,19467.4375,,,992.444030761719,954.603820800781,19124,10763,8361,19.8159821470771,,,,,,,,,,,,,,,,,,,,,,,,5918.14267217006,1310.02766446744,3903.47787508778,,,,,983.063842773438,963.758911132813,,,,,,,,,,,,,No,7699,5908,3064,2453
H02,NTC,,,,1,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,NTC,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,,,,,20630,0,20630,0,,,,,,,,,,,,,,,,,,,,,,,,,2225.9046488375,2225.9046488375,,,,,,,,,,,,,,,,,,,No,0,0,0,20630
H02,NTC,,,,2,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,NTC,Reference,ddPCR Supermix for Probes (No dUTP),HEX,,,,,,20630,0,20630,0,,,,,,,,,,,,,,,,,,,,,,,,,1321.56432054883,1321.56432054883,,,,,,,,,,,,,,,,,,,No,0,0,0,20630
